,0,1,2
64,Posting my vaccination card on my Facebook after getting my booster dose just to anger the anti-vaxxers in my family https://t.co/QtqQwvQz8D,rlovelltgc,Wakanda
65,Delta Airlines pilot dies mid-flight days after vaccination: report - LifeSite https://t.co/jWMwRi7uGc,tiny0904,"California, アメリカ"
66,I’ve seen some comments on the wisdom of going on the D&amp;D cruises. Y’all realize it’s not until next year? That vac… https://t.co/zxJFXUSseu,Goblinkatie,"Georgia, USA"
67,"@AltoAnovar @AbigailShrier “Church people”, are NOT imposing their beliefs on others.  If a woman wants an abortion… https://t.co/JLLD0Q0AIF",professormissey,
68,@CatSalzman @VanHoAdam We need a vaccination map by terrible maps 🤷‍♀️,amy_bresnen,"Austin, TX"
69,"""The new war is to wake up those who have been manipulated, while actively taking out the fake news campaigns,"" wri… https://t.co/m8x9JPROk9",gaguillen,"Monterey, CA"
70,@GEORGE1984WELL1 @Apoptos44475462 @Laurie_Garrett Healthy bodies react in a wonderful way to vaccination.,DeanStoneArt,"Long Island, NY "
71,"""Vaccination this Weekend, October 16 and  17. 
At AUA, 2nd doses of the COVID-19 Pfizer vaccine will be administer… https://t.co/NCrNtXCSjB",andyliburd,"New York, NY"
72,@JanessaWaterson It's a business decision. Period. I feel confused when others chose to forgo a product/service because of a vaccination.,Pub_Discourse,"Vicenza, Italy"
73,@JDReed18 Do I require proof of vaccination or anything of that sorts,JustenKolinske,"Petoskey, MI"
74,"@Myami52 @orlandosentinel https://t.co/9xjKFzI2wq start reading newspapers, &amp; stop watching TV. IT is rotting “your” brain",unicornwcats,"Orlando, FL"
75,"The insanity of the #Antivaxxers

https://t.co/krMryfHBp8",laurenskahn,"Washington, DC"
76,@CatSalzman @VanHoAdam Followed! P.S. Having to show your vaccination card to eat chicken parm and drink CNP wine a… https://t.co/B8bF8tm9jk,amy_bresnen,"Austin, TX"
77,I’m actually a little alarmed when an establishment here in NYC *doesn’t* ask to see my proof of vaccination…,CatchGifUCan,New York City
78,Those that call for more testing because they are concerned about “vaccination long term health effects” would sugg… https://t.co/IanVfk29GD,CrainSteve,"Midland, MI"
79,"NYC Sees Big
Gains With Black,
Hispanic
Vaccinations as
U.S. Rates Slow:
#COVID19 Tracker

Bloomberg’s tracker show… https://t.co/uBr2E7aeZU",YvesGebhardt,"East Harlem, New York"
80,Blood sucked out of vaccination site is gello https://t.co/0VPFgCCDDE via @BitChute,bluesbaby5050,"Maine, USA"
81,Hello Marauders!!! Vaccination clinic today!!! Please stop by for COVID testing and vaccinations. This event is fre… https://t.co/GuJBHTv8IS,DOSatCSU,Central State University
82,Getting a Vaccination at a Walgreens in Milwaukee is comparable to getting a steroid injection in a back alley of a market in Mexico,MursePainter,
