,0,1,2
641,These same asshats would support the military going door to door to force vaccination if Trump was still in office https://t.co/HPQCtub7mv,IAmMattBetz,"Los Angeles, CA"
642,"@danushman @valeriemolano @emilymiller 99.7 % vaccination rate at United.  Southwest 30%, bedbugs included.",MorningJoke,
643,Just spilled big red on my vaccination card,MilesTheKYKid,LouisV Legends 🖤
644,Pgh Police Chief email to officers encouraging vaccination: We have more than 20 brothers and sisters who have test… https://t.co/32Gcc4Ilwu,MCipriani_WTAE,"Pittsburgh, PA"
645,"Public benefits of vaccination are as follows:

1) Reduces transmission. 

2) Mitigates the burden on already strai… https://t.co/CtWFA6YlYn",akshatsharma,"Boston, MA"
646,News Alert: Kyrie Irving 'will not play or practice' with the Brooklyn Nets due to vaccination status @CNNPolitics… https://t.co/OUIqde7zPX,aurelio02,"Milwaukee, WI"
647,#Nets G Kyrie Irving will not play or practice with the team until he is eligible to become a full participant unde… https://t.co/gDjGYjxJw5,vengeanceRJ,"New Jersey, USA"
648,"@spoiledbratlol site seeing , ice skating , food ( all ethnicities ) , clubs , Broadway Shows .. etc .. etc . Kinda… https://t.co/HkE2ChTWkr",MizzShades,"New York, NY"
649,@hivewife @Linda87636371 @PaganLady3 @elforesto What is really prolonging are all the illegal migrants who are comi… https://t.co/7rXdaHF76d,heidioswald3,"Cedar City, UT"
650,"@patriottakes When it comes to vaccination I trust doctors, not nurses",sefasays,"Bushwick, Brooklyn"
651,"NEW from @GovRonDeSantis office: 

The #Florida Department of Health sent this notice to Leon County that it is ass… https://t.co/sl9Xz9aulR",WFLAJustin,"Tampa, FL"
652,@VDHgov is open with a Community Vaccination Center (CVC) at the @RichmondRaceway. This CVC is offering COVID-19 va… https://t.co/KBL8epcuQT,FreePressRVA,"Richmond, VA"
653,"If your employer MANDATES something, wear a uniform, get vaccinated, etc. &amp; you CHOOSE not to comply, you should be… https://t.co/VsDnglLAle",teresadee71,"Kent, WA"
654,"Parcel B is now the most picturesque vaccination site in the country 💉👀😂
#Miami https://t.co/UyoPFII0UN",volvoshine,"Miami, FL"
655,"Kudos to the Nets!!!!!

Kyrie Irving 'will not play or practice' with the Brooklyn Nets until he is vaccinated agai… https://t.co/nuyJDRFx86",iczimm,"Wisconsin, USA"
656,Agreed. Navy vet here and you can look at my immunization records and I received every government required vaccinat… https://t.co/ihX4VoBgql,LloydEdora,"Portland, OREGON "
657,"If it is known that you can catch/transfer COVID regardless of your vaccination status, why are you requiring folks… https://t.co/s3AcJ3AtOH",BriannaTaje,
658,"YES!! 👏🏻 Comply with the rules, or stay home. 🤷🏼‍♂️ https://t.co/Tjbi4jZ525",DevinNewsom,"Oklahoma City, OK, USA"
659,What if someone is vaccinated but they don’t want to upload their vaccination information to their company for privacy reasons?,716babe,United States
660,“Our community was among one of the hardest impacted by the COVID-19 pandemic. City Hall needs to immediately bring… https://t.co/CgxDFwzbg1,ydanis,"Washington Heights, Nueva York"
661,"@sjs856 hey vaccination king , i have a proposal",mjiceyy,La📍 
662,"Vaccination info:

Percentage of overall state population fully vaccinated: 64.8*
Percentage of adults (18+) with a… https://t.co/aIs7KsEq5z",mikesarzo,"Maryland, USA"
663,I just emailed our HR Director and asked if our facility’s vaccination percentage has improved since last month.,crillmatic_,North Carolina
664,Nets owner is sitting Kyrie for not following the vaccination mandates. Made my day,WillyxRobles,"Bridgeport, CT"
665,"Just now at work I walked into another Department's safety meeting.
Instructor: ""you're walking down the isle in th… https://t.co/xwzOwhbd3X",CABRAL505,The Land of Enchantment
666,@catturd2 At least vaccination rates of employers are going up in clown world. 🤡🤡,mj_jughead1025,
667,Shingrix Shingles Vaccination: What Everyone Should Know | CDC https://t.co/rapGAkN3xu via @CDCgov,mousekerdoodle,Meluginville.USA
668,@GraceStarling4 Can employers mandate taking a COVID-19 vaccination?,sdccampussafety,"Thomson, GA"
669,"If you missed Morning Edition today, you missed NPR speaking with @unmc’s @DrAliSKhan on Moderna COVID-19 booster s… https://t.co/15ugcZPgJB",jackie_ourada,"Nebraska, USA"
670,"""I took it, personally."" - Michael Jordan regarding the vaccination shot. https://t.co/NrvVvZUfAC",KaleDavidoff,"Los Angeles, CA"
671,@KassyDillon mandatory vaccination on the set?,SherwinRoss,Los Angeles
672,"@HW26651 @PennyAxa Sure, but a business has the right to require vaccination. So what are you arguing about here be… https://t.co/631aXgFs0p",lifeofmoe93,"Springfield, MO"
673,Kill Texas Population then  listened to Biden physicians back medical advised ??? https://t.co/tHmLb2Bpk7,LouisRuss5,
674,What about promote the general welfare! That’s in the same constitution that you claim to support ! Mass vaccinatio… https://t.co/7pP6MZZgwB,emrey35,"College Station, TX"
675,@mikejohansenmd @nytimes The only question should be is if vaccination can keep a kid alive who otherwise would hav… https://t.co/kaKvuiK4Dg,OnoNoKomachi1,
676,"Looking for 1st, 2nd, or 3rd dose of your COVID-19 Vaccination (Pfizer)? 

Walk-ins appointments available on Arnet… https://t.co/YB9cEh8pWq",HisBranchesInc,19th Ward & Beechwood 
677,"@HW26651 @PennyAxa Um did you read the article? 

""These are typically mild cases and individuals tend to recover w… https://t.co/fis9l4BJ8Q",lifeofmoe93,"Springfield, MO"
678,"@BustedOpenRadio @davidlagreca1 @bullyray5150 @GiftofGabSXM 
Can't call in but wanted to weigh in. I'm in CA. All f… https://t.co/ssamCo4966",PrimeCatch22,"Long Beach, CA"
679,@RogerMarshallMD State of Oklahoma data consistently shows those who were infected but then do not follow up with v… https://t.co/BbrDKDVQqb,Read4Ks,"Overland Park, Kansas"
680,Texas Gov. Abbott issues order banning COVID vaccination mandates in rebuke of Biden https://t.co/SsM00ImvZn via @TodayShow,BreakingChesky,"Dallas, TX"
681,"@HW26651 @PennyAxa Have not heard of this occurring. Please post a source so that I can verify this claim. 

 Even… https://t.co/dV3Gnjqvhl",lifeofmoe93,"Springfield, MO"
682,"@cspanwj Caller:  No vaccination mandate. MY BODY MY DECISION, except for abortion. 😂😂😂😂😂",PhyddleDD,"Metro Atlanta, GA"
683,"BBC News - Texas Governor Greg Abbott bans mandatory vaccination in state
https://t.co/2f9NTi5eIO",gwl88,
684,"Again, I am begging you. 
You know that on LinkedIn everyone can see your ""likes,"" right? Including all the anti-va… https://t.co/4G0rWyhJd3",mikejason73,Swamp USA (it's muggy here)
685,Dr. Priest says we will likely have a continued downswing trend into the spring. He said “the hope” is that masks w… https://t.co/bmjh39OVEa,CarolineHicksTV,"Charlotte, NC"
686,"Good job Governor Abbott! While I support vaccination (it saves lives), it's a choice to be made freely. https://t.co/GLaP7uIUhi",ibenunot,"San Antonio, Texas"
687,The impact of politicizing vaccines during the COVID-19 pandemic doesn’t just have immediate consequences- the long… https://t.co/kq553ceqET,cpatrickbond,"Washington, DC"
688,NBC News is in town again following up on COVID-19 and vaccine in Greene County with @katietowns15! We’re at the ne… https://t.co/62Dfnh2fv3,AaronSchekorra,
689,@CameronYo @AmtrakNECAlerts What does the vaccination have to do with this not a thing,mas6112,"Dundalk, MD"
690,@billharper01 @WolfofBagholder @jimcramer I support the rights of the pilots to be fired for not getting the vaccination.,andy_mccormac,"Marina del Rey, CA"
691,"@SquawkCNBC Andrew, who said they would not take a vaccination funded by Trump Administration? Of course the current President and VP!",JohnCur59024135,
692,@DSandman1801 @willmaxey @TimHillSC He's Catholic. The Pope is specifically advocating for vaccination.,jkfecke,"Lakeville, Minnesota, USA"
693,"@ComalForLiberty @allcomdigital1 @MattWalshBlog Get a vaccination, protect your family",bluemajorelle,camerasd file
694,#COVID19 numbers in Nebraska have largely plateaued but remain elevated with the unvaccinated driving infections. C… https://t.co/Q2sjaqkGHo,RyanHoffman3,"Lincoln, NE"
695,"ATTN 👀 all Hornets who are winter &amp; spring sport athletes! 

https://t.co/rW9g6GAY3P

@HerndonBball
@herndonsports 
@HornetBoosters",CoachQueue,"Herndon, VA"
696,"Here are today's walk-up vaccination sites and testing sites.

Preregister for testing sites at… https://t.co/WuW9B9tdRV",dc_ova,"Washington, DC"
697,"Texas, Florida, &amp; Montana ban employer vaccination requirements,
ahead of federal rules 

https://t.co/5YsMFk9nIB",VolunteerMG,
698,"#Covid19 Reasons for objecting to state &amp; local resistance to Covid19 vaccination, the possible victims &amp; families… https://t.co/HibC2XDmdL",duoscottmcon,USA 01089  Massachusetts
699,"MoCo is one of the most vaccinated counties in the US, but the most vaccinated *Montgomery County* is actually the… https://t.co/RB2F0jGqtM",justupthepike,silver spring for life
700,The State of Texas is sowing distrust in health authorities and the proven prevention of severe COVID-19 disease th… https://t.co/Ef6ARhSktl,The304JAB,"Parkersburg, WV"
701,"#coolfact
#NJEducators are heading to work today in a #state where it is not required to provide #gender on your… https://t.co/8NcHPP1swx",deanfoulks,
702,@bennyjohnson This is alarmist b.s. Get vaccinated against Covid-19 like every other vaccination you took to get in… https://t.co/WKEaGzzQLp,LynnBTV,North America
703,#COVIDReport from @appstate continues to improve.  Vaccination rate is up to 63% and positive test results in the l… https://t.co/qCK8HqDplO,gradyryan1,"ÜT: 36.098565,-80.311023"
704,"Big pharma strikes again, putting profits ahead of people … and particularly Black people. In close second, vaccine… https://t.co/y9zLBDS5L9",ammchale,"Chapel Hill, NC"
705,@LauraWhorley @marrow04 @FoxNews There probably in his pocket and in her purse along with there proof of vaccination cards.,MikeX63489434,
706,@af_political @robbystarbuck Name another time in history when we have collectively quarantined the healthy? Over t… https://t.co/8kaFdJnhUG,sgtfriedel,Oaky Grove Swamp
707,@budman177777 @Hoganator @donna_spackman @tplohetski I think you tagged me 1st. But I'm like you. No vaccination no… https://t.co/MRJkmLBgHw,louiselnelson91,God's House
708,@Hoganator @budman177777 @donna_spackman @tplohetski Now you sound stupid. Why do Black &amp; Brown ppl have the lowest… https://t.co/9jlZkbOawQ,louiselnelson91,God's House
709,@HelenKennedy Why not promote vaccination? An ounce of prevention is worth a pound of cure.,KTMcCormick2,Wherever the road takes us
710,"I remain truly bewildered by those who do not believe they are vulnerable. The risk/benefit ratio, which we use to… https://t.co/6Y8m803wm5",joeweigel,Somerset Ky
711,@WehrliPubs @AC360 @randikayeCNN That might be true for you to have a high level of antibodies but it may not be tr… https://t.co/VscingVOgN,Joypear27472467,
712,it has been 10 hours since someone asked me for ivermectin at the vaccination place i work and i’m still floored… f… https://t.co/RJuxuVCHtJ,paytonmeyer11,
713,"WHY IS GETTING A VACCINATION A PROBLEM? People, this isn’t the first time a vaccination has been issued in the coun… https://t.co/aWIS3PCAiF",cezantonio,"Dallas, TX"
714,@CheetoWafa @DonaldJTrumpJr And those people would have probably contracted COVID-19 regardless of vaccination or n… https://t.co/NjtuGGmQtb,mckenzie6113,"Nashville, TN"
715,"America’s enemy is within:

Texas Gov. Abbott issues order banning Covid vaccination mandates in rebuke of Biden… https://t.co/9XdKakQhF6",rabin_c,Cupertino California
716,@69bull69dawg69 Mandatory vaccination. Done.,KatheRich8,
717,I applaud ESPN decision to sideline Sage Steele after comments about network's vaccination mandate and Barack Obama… https://t.co/bP4TBx21rE,mjupiter90,"Atlanta, GA"
718,@JohnCollins_KP The problem at Southwest is not related to pilots in vaccination. It is related to poor management,GeorgeMia,"Fort Lauderdale, Florida"
719,"@the_bouIder No of course a business doesn't have a right to make someone inject something, even a life saving vacc… https://t.co/IkfohOgujk",MostLikelyJoe,ATX
720,"""Biden Orders Vaccination Mandates for Larger Employers, Federal Workforce"" https://t.co/JYeTjJumhQ",mjupiter90,"Atlanta, GA"
721,@ferrisontour85 @jmkilar @FoxNews You believe in the conspiracy that masks don’t help which they do help. But nonet… https://t.co/SCFr5Q4Pm9,andy_mccormac,"Marina del Rey, CA"
722,The only people who care what Biden says are 60 year old weirdos who wear shirts with a masked Rosie the Riveter sa… https://t.co/t4ilFtgqxV,judeicialreview,"Washington, DC"
723,"Wait, does LA beat SF ? 
SF does have better vaccination rates than LA, so perhaps a tie? https://t.co/pKR6Fa0UUI",kenyaw,"Huchian, BKY-OAK-RIC"
724,"@TxCon99 @MarkDavis I know my history.. and when government mandates affect businesses and schools, we all suffer.… https://t.co/RS96ByWCQS",TexasRockStar,"Texas, USA"
725,@GeorgePapa19 If vaccines work. And you get vaccinated...how does my vaccination status impact you? This is a basic… https://t.co/3QklAxKRjd,PeterPatriot6,
726,"R.R. Would like to remind ALL adults of the United States, that the question of vaccination for children under the… https://t.co/EWq7VKFjFI",Chemanechemanec,
727,Trying to add vaccination status as a protected class cuts in both directions: it furthers the federal goal of limi… https://t.co/rfJMHOng1a,greg_doucette,Durham NC
728,"Bouncer ain't even check for ID, vaccination card, NOTHING.. Just checked to see if I was strapped and proceeded to let me thru.. #FLAWDA",ItsWillieB,Ohio
729,@TxCon99 @MarkDavis @TxCon99 Abbott’s mandate has taken our choice away &amp; is violating personal freedoms. We should… https://t.co/EtVZ3riTAl,TexasRockStar,"Texas, USA"
730,"It is not despite the vaccination rate, it's because of the vaccination rate. The whole point the fake vaccination… https://t.co/7iXSrULT2i",KathrynRTitus11,30605
731,"@MichaelPSenger @conspiracymill It is not despite the vaccination rate, it's because of the vaccination rate. The w… https://t.co/2ZpmfszUoG",KathrynRTitus11,30605
732,Media Day at our Covid-19 vaccination clinic opening tomorrow! Love our local media❤️. Thanks @kuzznews @KGETnews… https://t.co/QZC7RNBDVr,MichelleCorson7,
733,"Divide and conquer, divide and conquer, divide and conquer... that's all racist caucasian leadership does... exampl… https://t.co/71AcI5CPaA",OGziggyB,"Paradise Park, Trinity Gardens"
734,The RHDV2 (deadly rabbit disease recently found in MN) bunny vaccination event is more intense than any Covid test/… https://t.co/j0l0sDHP1W,SkyeMurphyKane,
735,"I still can’t get over Jack Harlow asking Druski what his favorite vaccination spot is, and not being able to read the word vacation.",andybowers_,"New York, NY"
736,@AnkitJimmyJohn How did the covid restrictions go? Did they really ask for vaccination proof if u dont mind me asking?,ThisIsMike27,
737,"@CollinAlexander I’m not too concerned. They would be having the issue now if like you said, everyone is using sick… https://t.co/cKA2WRu3no",AmandaMAtwell,"Texas, USA"
738,Flu shot taken care of today. Please remember to get this in addition to your Covid vaccination. Help reduce infect… https://t.co/12PILaXBHc,Mlongcincy,"Cincinnati, Ohio, USA"
739,No. @POTUS is doing a good job considering people like you &amp; @FoxNews lie to your audience about vaccination. https://t.co/wlov602Fqb,TassajaraRd,"Monterey Peninsula, Ca."
740,...I almost purchased my tickets until I saw the bullshit covid vaccination obligations 😒 https://t.co/iAchaXhYXq,OGziggyB,"Paradise Park, Trinity Gardens"
741,@1Nicdar @ArielRedMoon1 No way! No vaccination maybe,BruceAckerman7,
742,"Today is vaccine day at equinox, a.k.a. the deadline that members have to show proof of vaccination before entering… https://t.co/W5VTd6DXDT",Adriana_Lacy,"Los Angeles, CA"
743,This is not conservative. Mandating a private business vaccinate is not conservative. Prohibiting that same private… https://t.co/96TKRFAhS2,AlbertoPartyof6,
744,@tribjazz Thatll be the 40% vaccination rate amongst Jazz fans 😆,PilrigPaterson,"RH,RN"
745,@AGHamilton29 Just asking out if curiosity - it seems you first argue that the government can’t force private busin… https://t.co/38T1JQicj7,mplslove87,"Minneapolis, MN"
746,"Well, this is a depressing thread. @MicahPollak, where does Indiana rank among ALL states for vaccination rates? https://t.co/o3jhDHFTAN",jeremyawilliams,Broad Ripple | Indy
747,@HollyCookID @ryanwoodings Oh my gosh so true. We’re like “we almost made it to vaccination!” but in Idaho it was s… https://t.co/IkxLw8X8ox,holliwoodings,"Boise, ID"
748,@WalshFreedom We are triple vaccinated and heading to NYC on Wednesday to see #Hamilton and have dinner at… https://t.co/eZRg2uLAH8,marlmidd,"New Jersey, USA"
749,I don’t understand how the “COVID Vaccination Card” can be proof for anything when they didn’t even spell my last n… https://t.co/i1WOPO97w7,BradenGonsoski,"Denver, CO"
750,@Ben3PO A high profile barb who I was mutuals with unfollowed me after I tweeted about the vaccination debacle lol,Tophurrr,"Washington, DC"
751,"@myra2329 @JackPosobiec Exactly, YOU have a choice, vaccination OR testing, so what’s your problem???  And sorry to… https://t.co/tISUKshpUS",alexgar75775233,
752,"But you have to take other vaccines? Yeah, I did to go to school. I don’t remember having to display my measles vac… https://t.co/OEeYP4q6JF",tkdylan,"Brooklyn, NY"
753,"@AnnaTay59833185 “This case involves the validity, under the Constitution of the United States, of certain provisio… https://t.co/mhZR5SlRGM",heycallmecas,"Massachusetts, USA"
754,Showed them a pic of the Ola menu QR code &amp; they accepted it as my proof of vaccination 🙏🏽🙏🏽🙏🏽,Rickyeezus,
755,@BenjySarlin Does anyone think the folks who are removing vaccination requirements would hesitate to kill political… https://t.co/z4OWJyWtoH,BruceEdiger,"Denver, CO"
756,@Machiavelli9595 @mikepompeo @ShawnQuinn83 El Jefe ended military engagement in Afghanistan which took courage and… https://t.co/l2hGDVFSLc,metrikk,Texas 
757,In San Francisco. Just came to a bar to watch baseball and football games. They required me to show vaccination car… https://t.co/Ee2MUNZLkK,kkchallman,"Denver, CO"
758,here’s what i think you all don’t understand…….i don’t want to argue with you about your COVID tests or your proof… https://t.co/Ch6i3G7JaS,jennalluminati,Nashville via Atlanta
759,"YOU CAN'T FIX TRUMPIDIOTS....

https://t.co/dGgA2nyl6t",hernan_ferrea,"Flori-duh, USA"
760,This creep has blood  on his hands https://t.co/feODFeRuTU,hondo750,"Stockbridge, GA"
761,Sounds like this Thursday’s @deadandcompany show in Dallas is in jeopardy (they require vaccination for pit access)… https://t.co/9g76cMcNK7,Wombat_Matt,"Dallas, TX"
762,"@Netpropheting @BlimlineJohn @PAHealthDept @GovernorTomWolf ""Other pharmacological and non-pharmacological interven… https://t.co/PZihJcPs9T",bigstape,Somewhere near Phillydelfya
763,"@RealLucyLawless @spennington33 10!
Without far more vaccinated than we currently have Covid and it's variants will… https://t.co/kI4AE93oUj",DragonHawk1959,
764,"Thank you to @LelandVittert and @NewsNationPR for having me on to talk about airline cancellations, delays and vacc… https://t.co/VEMr7uuhiY",MarkDombroff,Washington D.C.
765,"“No entity in Texas can compel receipt of a COVID-19 vaccine by any individual, including an employee or a consumer… https://t.co/cL4wzCxbWl",DavidSFOX4,"Dallas, TX"
766,"I anointed two patients today (a man &amp; a woman) in a COVID-19 area at a local hospital. Please wear mask, wash your… https://t.co/bBP4kFd1wY",VudatNation,"Birmingham, AL"
767,@Darcie60827763 Bologna. This whole argument has gone political. If you go visit your doctor &amp; he says you need a v… https://t.co/j0mmCSVSXt,dlerikson1,"Omaha, NE"
768,"#MeetMeAtTheAbbey #LGBTQ #Gaybar #LoveWins #holiday
Drink special: Caramel Apple Martini w/ a splash of Butterscotc… https://t.co/4OdXDi92yJ",CadillacRiver,"Los Angeles, California"
769,Repost via @lataco - many of you may have already noticed if you’ve been out today but today most Angeleno establis… https://t.co/X5NqZA0757,TheLAMission,"Los Angeles, CA "
770,@ThanosRising3 @FromAshestoNew Just as the guys could give a shit less about what you have to say. Their vaccinatio… https://t.co/WNY87QZIlM,KateWinterink1,"Iowa, USA"
771,"If you are eligible for a COVID booster, take advantage of the Health Department’s free vaccination opportunities.… https://t.co/PHsWqCzAU7",MayorTimKelly,"Chattanooga, TN"
772,"Just in: @GovAbbott issues executive order saying “no entity in Texas” can mandate COVID-19 vaccination, broadening… https://t.co/5rNvFn4SyP",PatrickSvitek,"San Antonio, TX"
773,Just got my 3rd vaccination dose and they didn’t even ask me for an ID. Given how high stakes these are now (Kyrie… https://t.co/RYesatRIxV,jeffayc,"Cambridge, MA"
774,"Brand of 666 = vaccination COVID -19… you need it mandate, etc… if you dont have it you will loose your job… green… https://t.co/k7jRnxNsz9",dragontattt,"Houston, TX"
775,if you got a fake vaccination card you’re selfish and i do not like you,Tahneesmith17,"Roseville, CA"
776,@RandPaul All med literature says vaccination better than infection!,jim91108272,
777,"Another team I care about has announced a vaccination/test requirement for entry. 

… https://t.co/KNe3uHsJBl",MNorthStar82,
778,Vaccination is our most important tool. https://t.co/5w3du5CYVw,Hancen4Sale,"Knoxville, Tennessee"
779,"@HobockRyan His was mild my ex was more severe, but she wasn't vaccinated, and he had only received his first vacci… https://t.co/8FYGWeqlbE",VonWolf9,Long Beach CA
780,@WSMV Pilots striking due to enforcement of vaccine mandates https://t.co/nbVOgHiFGB,JDHmac2418,"Nashville, TN"
781,@davidmweissman I unfortunately know many who have had COVID - both before vaccine was available and after receivin… https://t.co/GOXoYYsJbn,semdave,"Kansas City, MO"
782,"WHO (World Health Organization) is more trustworthy than the CDC

https://t.co/QtUyWDgF2K",Gladiator__14,"Ohio, USA"
783,@byJenAMiller There was zero enforcement of masks at the Broad Street Run. And we were supposed to get the QR code… https://t.co/WiVfha6EOh,bktandem,"Central NJ, USA"
784,"""22,000 lives could have been saved in Texas and Florida, if we had reached the 70% vaccination rate."" @PeterHotez… https://t.co/35EG78oEdQ",biloxichoctaw,"Beaumont, TX"
785,"@FOX5Atlanta How is trick or treating safe, when they have stated That vaccination numbers are low and kids can’t g… https://t.co/pIURiOyxhR",RealvilleS,
786,@MrPaulOMims Masks ain’t required for vaccinated customers in the majority of stores and restaurants. But if you’re… https://t.co/JmiWNWuhHS,KellyCiryak,
787,@ScreamJustin_ I hope she went in on herself about all that vaccination bullshit,AnttDave,instagram: tacofuckingbell
788,"Congratulations on having two of the craziest, extreme right politicians in our country.  Ask Desantis how his anti… https://t.co/7m3L7o8sKO",craighowardsher,
789,@nytimes Definitely need to move beyond the carrots to the sticks.  Tying vaccination to employment or other full e… https://t.co/vOF4tayAI8,jphysiol_eic,"San Diego, CA"
790,Join me on October 29th as I usher ASL Slam NYC into a new era! A big shoutout to the legendary @douglasridloff for… https://t.co/11GImWzmkb,ZavierSabio,Brooklyn 
791,@llano_selina @SherylHutchers2 @whittler_e Vaccines will not prevent disease if there is a significant exposure…but… https://t.co/IDXNUpJAPP,nancymo55682989,
792,"@Jessnj4554 @RockyMountViews @Blue_Texas2022 I have had three COVID-19 vaccinations, just got a flu vaccination. I’… https://t.co/ngfHc5mL20",jedco_here,"New Rochelle, NY"
793,Love that my employer is proactive and makes it so easy/convenient to get vaccinated! I got my annual flu shot on c… https://t.co/I2eXI1IMTe,BereavedBlessed,"Chicago, IL"
794,"Several GOP lawmakers have tried to weaken Mississippi's strict vaccination laws.

Earlier this year, though, legis… https://t.co/et59jKnKwV",ashtonpittman,"Hattiesburg, MS"
795,"In recent years, other states experienced outbreaks from diseases like measles amid the growing anti-vaccine moveme… https://t.co/6AhzKqZrmu",ashtonpittman,"Hattiesburg, MS"
796,@ecdrakon @PineappleSwifty @MattWalshBlog Why? Why this vax and not another? Do you think this happened’anti-vax w/… https://t.co/2PGn2DhL5D,pracperf,"Durham, NC"
797,Perhaps one more reason to consider vaccination. #COVID19 JGW https://t.co/Uh7jYn0VGH,joeweigel,Somerset Ky
798,@stickynickyyyy @missfests 3 points is requiring proof of negative test and voluntary proof of vaccination.,surfsupsofia,"Florida, USA 407"
799,"Here’s who it does impact. 

https://t.co/4852eNRoKd

If the party involved is not one of those three categories, t… https://t.co/Xbl5bu8S3n",gallifreyan,"Silicon Valley, CA, USA"
800,@mdixon2003 @MattWalshBlog Flights are being cancelled due to their employee COVID vaccination mandates.,damay1959,"Mineral Wells, TX"
801,"Guesses due to a combo of
- Canada not being batshit
- CA being tough on vaccination
- NYC being tough on vaccinati… https://t.co/NzholXGbCf",PhillyBeach93,Houston // Long Beach // bed
802,"This might be a duty for @jakebaskinpxp to undertake, but 16 NHL teams are requiring vaccination...

My guesses: https://t.co/UrMUOsKhw1",PhillyBeach93,Houston // Long Beach // bed
803,"Open SmartNews and read ""U.S. travel restriction plans will highlight vaccination disparities in the Americas"" here… https://t.co/Z3q6e8W8Sn",GRevmgbrown4,"Washington, DC."
804,"Open SmartNews and read ""Why does Connecticut have the lowest rate of COVID-19 in the country? It starts with vacci… https://t.co/cpTGeeh7ie",GRevmgbrown4,"Washington, DC."
805,@1Psychobusdrivr @mojoman04 @laurenboebert Are you that ignorant not to know private companies have the right to ma… https://t.co/cF4jVdSdfV,ocnj827,"Denver, CO"
806,"Open SmartNews and read ""Vaccination mandatory for education and health workers"" here: https://t.co/aKjp8tOBqv 
To… https://t.co/L640dKz7Il",GRevmgbrown4,"Washington, DC."
807,"@POTUS I don't believe you. You lie, your vaccination program doesn't exist. You claim it, but Trump made it.",RobertB89452479,
808,Seattle Children’s -“Hospital leaders are still unsure how the winter months will play out. Seattle Children’s saw… https://t.co/7N4BKmJK8X,pvarney,
809,@PoliticusSarah @politicususa Unvaccinated people act stupid. They refused the vaccine so they get sick then recove… https://t.co/M3RTNpVpj8,KurtRexCooper,The Great Sonoran Desert
810,@craig75274503 @matthewdmarsden What is your source? Vaccination provides more and longer antibodies than mild infections.,OfVegitables,"Oregon, USA"
811,@VCPoliceScanner @andrewrsorkin @SouthwestAir Many unvaccinated have already had Covid which is much more powerful… https://t.co/etK6oehgLk,rawirthlin,
812,"""New Jersey teacher says her stomach was ‘churning’ following union demand to log students’ vaccination status""  https://t.co/EVN1524eiS",DomarPierson,"Greenwood, MS"
813,Got my flu vaccination 🤷🏽‍♀️,gudvibez,"Atlanta, GA"
814,Great time at @pitbull and @IGGYAZALEA concert last night.  EVERYBODY had to show proof of vaccination or negative… https://t.co/qLKQbnUU2O,DrFredaBrazle,Atlanta
815,@Eric_Schmitt I should have said inoculation instead of vaccination.,ZGare,St. Louis
816,It’s official. As of Friday anyone attending UMaine  basketball or hockey games will need to show vaccination proof… https://t.co/pxYZkrtbDx,rmclaughlin23,"Bangor, ME"
817,ATP says its vaccination rates are “currently at approximately 65%.”,BenRothenberg,"Washington, DC"
818,“Multiple studies (including one out of Israel that has received global attention) now indicate that those who have… https://t.co/uayoVNfOqB,ajvelazquez1,"Florida, USA"
819,@JDVance1 Why is the right determined to undermine the vaccination effort?,jolefson50,"Westtown, NY"
820,How I feel knowing I have to have Covid vaccination proof to attend a show I’ve had tickets for two years.. anyone… https://t.co/TKEVooXhV2,Mr_Lavoie_,
821,@JBPritzker @GovPritzker  @chicagosmayor I really enjoyed my stay in NYC where my #vaccination card was checked on… https://t.co/b8KYwcTMc3,roremlegalstaff,"Chicago, IL"
822,Edward Jenner's published casebook on smallpox vaccination (1800) https://t.co/Qe1u38Za3J,cakesandcourage,"Richmond, VA"
823,So this is why Florida’s Delta wave was so much worse than it’s official vaccination rate would have portended. Ton… https://t.co/8OWeMGoUw7,AstorAaron,"Maryville, TN"
824,I have been surprised at how many people are worried about the cost of this new medicine if you take your free vacc… https://t.co/JlaEkeE07L,LennyChevere,"Illinois, USA"
825,new york is living in 2022 asking for proof of vaccination everywhere you go,aaronnalejandro,
826,@CharlesCMann He also stupid. He refused to take the vaccine so he got sick and is recovering but will likely not g… https://t.co/HldR8IbWQq,KurtRexCooper,The Great Sonoran Desert
827,@JohnBrown1858 @RealCandaceO You don’t get to chose the crew. You choose an airline &amp; buy your ticket (s). Will you… https://t.co/pRK8tMTFLc,SUNsetHEAVEN59,"Portage, Indiana"
828,"@Whyisthistakin3 @POTUS The traveling through states thing might not work that well tbh. For example, I'm getting m… https://t.co/EE0SCWsMvO",naticorn42,"Florida, USA"
829,@KiaSpeaks Yeah thats a cute script but unscientific misinfo. 1. The mrna vax does not significantly reduce transmi… https://t.co/enWvG9clPF,DannyPanzella,New York City
830,Proof of full vaccination to be required for clubs in Los Angeles: The new rule comes into effect from 4th November… https://t.co/Qjhdh8l72g,LionStiglitz,
831,"#Pfizer booster complete. Let's party 
#vaccinated #vaccination",ApolloOhio,"Tampa, FL"
832,"@nocontextKD7 @PsychoNetsFan The United States = The Gov't
The Govt = The Law
The Law = currently vaccination manda… https://t.co/OswNdB9lp3",JeriTsaiNets,"New Jersey, USA"
833,@ASlavitt @CTRNewsFeed Cases remain high here in rural Oregon with low vaccination rates.,BradCummings13,"Klamath Falls, OR"
